РЦ Транзитный,РЦ Географический,Код ТП,Наименование ТП,Тип склада,Формат для диаграмм,Целевая ЦП,Действующая ЦП,СТМ,Признак объемности,Локальность,"отгрузки по РЦ-ТП сред знач за 3 мес, пал","отгрузки по ТРЦ-ТП сред знач за 3 мес, пал"
РЦ Самара (а),РЦ ПД Энгельс,711291,SKU_031586,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,2.07,2.38
РЦ Самара (а),РЦ ПД Киров,548480,SKU_046970,Охлажденка,МИКС,ПД,ПД,Нет,-,-,1.24,1.58
РЦ Самара (а),РЦ ПД Пенза,552445,SKU_004628,Заморозка,МД,ТРЦ,ТРЦ,Нет,-,Регион.,2.85,3.78
РЦ Самара (а),РЦ ПД Энгельс,947630,SKU_043648,Пресервы,МД,ПД,ПД,Да,-,-,1.11,1.18
РЦ Самара (а),РЦ ПД Тольятти,654100,SKU_046715,Охлажденка,ТД,ПД,ПД,Нет,-,-,8.17,9.1
РЦ Самара (а),РЦ ПД Тольятти,821944,SKU_023650,Заморозка,МД,ПД,ПД,Нет,-,-,1.98,2.5
РЦ Подольск (а),РЦ ПД Подольск,759287,SKU_018590,Основной склад,ТД,ПД,ПД,Нет,-,-,0.37,0.43
РЦ Самара (а),РЦ ПД Пенза,695814,SKU_023657,Основной склад,ФД,ФРЦ,ФРЦ,Нет,-,-,0.57,0.68
РЦ Самара (а),РЦ ПД Тольятти,790246,SKU_031856,Пресервы,МК,ПД,ПД,Нет,-,-,0.36,0.37
РЦ Самара (а),РЦ ПД Пенза,303362,SKU_049989,Охлажденка,МД,ТРЦ,ТРЦ,Нет,-,Локал.,0.67,0.69
РЦ Самара (а),РЦ ПД Киров,212244,SKU_046912,Основной склад,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,3.84,4.78
РЦ Самара (а),РЦ ПД Пенза,581181,SKU_001757,Основной склад,МД,ФРЦ,ПД,Нет,-,-,2.1,2.7
РЦ Самара (а),РЦ ПД Зеленодольск,198835,SKU_043812,Заморозка,МД,ФРЦ,ПД,Нет,-,-,3.39,3.72
РЦ Самара (а),РЦ ПД Киров,998940,SKU_006220,Основной склад,МК,ФРЦ,ФРЦ,Да,-,-,2.57,2.66
РЦ Самара (а),РЦ ПД Тольятти,201649,SKU_005935,Заморозка,МД,ПД,ПД,Нет,-,-,1.14,1.37
РЦ Самара (а),РЦ ПД Тольятти,801281,SKU_028303,Охлажденка,ТД,ФРЦ,ПД,Нет,-,-,4.6,5.84
РЦ Самара (а),РЦ ПД Энгельс,337807,SKU_042283,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,0.58,0.75
РЦ Самара (а),РЦ ПД Зеленодольск,746756,SKU_003013,Основной склад,МК,ПД,ПД,Нет,-,-,0.95,0.98
РЦ Самара (а),РЦ ПД Тольятти,186164,SKU_025343,Охлажденка,ТД,ПД,ПД,Нет,-,-,0.78,0.89
РЦ Самара (а),РЦ ПД Тольятти,218934,SKU_046061,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,0.28,0.34
РЦ Самара (а),РЦ ПД Тольятти,844109,SKU_007766,5-я камера,МД,ФРЦ,ФРЦ,Нет,-,-,3.6,4.31
РЦ Самара (а),РЦ ПД Киров,467483,SKU_035401,Основной склад,МК,ПД,ПД,Нет,-,-,1.4,1.7
РЦ Самара (а),РЦ ПД Энгельс,164293,SKU_028273,Заморозка,МД,МП,ПД,Нет,+,-,1.19,1.58
РЦ Самара (а),РЦ ПД Пенза,140385,SKU_005358,Основной склад,МК,ПД,ПД,Нет,-,-,0.57,0.7
РЦ Самара (а),РЦ ПД Пенза,493381,SKU_004038,Основной склад,МД,МП,МП,Нет,-,-,0.16,0.18
РЦ Самара (а),РЦ ПД Энгельс,198258,SKU_025748,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.19,0.23
РЦ Самара (а),РЦ ПД Киров,964257,SKU_017830,5-я камера,МИКС,ПД,ПД,Нет,+,-,1.14,1.51
РЦ Самара (а),РЦ ПД Зеленодольск,725516,SKU_016606,Основной склад,МК,ПД,ПД,Нет,-,-,0.3,0.37
РЦ Самара (а),РЦ ПД Киров,701045,SKU_008833,Заморозка,БФ,ФРЦ,Федеральный пулинг,Нет,-,-,5.48,6.87
РЦ Самара (а),РЦ ПД Тольятти,110840,SKU_028967,Основной склад,МК,ПД,ПД,Нет,+,Локал.,0.51,0.55
РЦ Самара (а),РЦ ПД Тольятти,137765,SKU_041457,Основной склад,МД,ПД,ПД,Нет,-,-,3.31,4.08
РЦ Самара (а),РЦ ПД Зеленодольск,302757,SKU_026040,Основной склад,МИКС,ПД,ПД,Нет,-,-,4.85,5.71
РЦ Самара (а),РЦ ПД Энгельс,569198,SKU_019374,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.4,0.42
РЦ Самара (а),РЦ ПД Энгельс,117366,SKU_037205,Основной склад,МК,Федеральный пулинг,Федеральный пулинг,Нет,-,-,28.86,31.18
РЦ Самара (а),РЦ ПД Тольятти,264810,SKU_034821,5-я камера,БФ,ПД,ПД,Нет,-,Локал.,3.65,4.31
РЦ Самара (а),РЦ ПД Энгельс,322793,SKU_037823,Охлажденка,МД,ПД,ПД,Нет,-,-,5.09,6.71
РЦ Самара (а),РЦ ПД Зеленодольск,219404,SKU_015807,Охлажденка,БФ,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.52,0.7
РЦ Самара (а),РЦ ПД Энгельс,153334,SKU_040443,Охлажденка,БФ,ПД,ПД,Нет,-,-,0.55,0.59
РЦ Самара (а),РЦ ПД Энгельс,385205,SKU_021182,Основной склад,МИКС,ПД,ПД,Да,-,-,3.08,3.98
РЦ Самара (а),РЦ ПД Тольятти,120214,SKU_039161,Основной склад,МД,ПД,ПД,Нет,-,-,0.95,1.21
РЦ Самара (а),РЦ ПД Киров,958828,SKU_045556,5-я камера,МД,ФРЦ,ФРЦ,Нет,-,-,1.66,2.15
РЦ Самара (а),РЦ ПД Тольятти,930652,SKU_006681,Основной склад,МД,ПД,ПД,Да,-,-,2.56,3.36
РЦ Самара (а),РЦ ПД Энгельс,400818,SKU_028205,5-я камера,МД,ФРЦ,ПД,Нет,-,-,5.6,7.09
РЦ Самара (а),РЦ ПД Энгельс,994614,SKU_027977,Охлажденка,МД,МП,ФРЦ,Нет,-,-,4.67,6.47
РЦ Самара (а),РЦ ПД Зеленодольск,510592,SKU_026861,Пресервы,МД,ПД,ПД,Нет,-,-,0.17,0.18
РЦ Самара (а),РЦ ПД Зеленодольск,616758,SKU_001781,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,1.25,1.28
РЦ Самара (а),РЦ ПД Киров,494048,SKU_038709,Основной склад,МД,ПД,ПД,Нет,+,-,0.7,0.73
РЦ Самара (а),РЦ ПД Зеленодольск,363768,SKU_003950,Основной склад,МК,ПД,ПД,Да,-,Регион.,1.03,1.13
РЦ Самара (а),РЦ ПД Тольятти,790849,SKU_035056,Основной склад,БФ,ПД,ПД,Нет,-,-,1.44,1.8
РЦ Самара (а),РЦ ПД Тольятти,445312,SKU_043495,Заморозка,МД,ПД,ПД,Нет,-,Локал.,1.56,2.03
РЦ Самара (а),РЦ ПД Пенза,814489,SKU_027491,Пресервы,МД,ПД,ФРЦ,Нет,-,-,1.66,1.76
РЦ Самара (а),РЦ ПД Тольятти,526670,SKU_001088,Заморозка,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.58,0.71
РЦ Самара (а),РЦ ПД Тольятти,963526,SKU_007326,Основной склад,МД,ПД,ПД,Нет,-,-,0.59,0.63
РЦ Самара (а),РЦ ПД Энгельс,322929,SKU_031297,5-я камера,МД,Федеральный пулинг,ПД,Нет,-,-,6.19,6.73
РЦ Самара (а),РЦ ПД Зеленодольск,255156,SKU_016916,Пресервы,МК,ФРЦ,ФРЦ,Нет,-,-,1.21,1.55
РЦ Самара (а),РЦ ПД Пенза,512623,SKU_039490,Основной склад,МИКС,ПД,ФРЦ,Да,-,-,13.37,18.23
РЦ Самара (а),РЦ ПД Пенза,983168,SKU_017015,Основной склад,БФ,ФРЦ,ФРЦ,Нет,-,-,2.65,3.22
РЦ Самара (а),РЦ ПД Энгельс,475741,SKU_034277,Основной склад,ФД,ПД,ПД,Нет,-,-,0.41,0.54
РЦ Самара (а),РЦ ПД Пенза,828453,SKU_041975,Охлажденка,МД,ФРЦ,ФРЦ,Нет,-,-,0.91,1.16
РЦ Самара (а),РЦ ПД Зеленодольск,747911,SKU_001972,Основной склад,МК,МП,МП,Да,-,-,0.52,0.69
РЦ Самара (а),РЦ ПД Зеленодольск,246472,SKU_000747,Заморозка,МК,ПД,ПД,Нет,-,-,0.19,0.22
РЦ Самара (а),РЦ ПД Тольятти,485400,SKU_001519,Охлажденка,БФ,ПД,ПД,Нет,-,-,5.47,6.89
РЦ Самара (а),РЦ ПД Киров,540464,SKU_042399,Заморозка,МД,ТРЦ,ТРЦ,Да,-,-,2.97,3.96
РЦ Самара (а),РЦ ПД Киров,240840,SKU_048257,Заморозка,МД,ПД,ПД,Нет,-,-,5.92,7.6
РЦ Самара (а),РЦ ПД Энгельс,251265,SKU_032146,Заморозка,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,0.61,0.75
РЦ Самара (а),РЦ ПД Тольятти,299293,SKU_000080,Охлажденка,МД,ТРЦ,ТРЦ,Нет,-,-,3.76,3.99
РЦ Подольск (а),РЦ ПД Подольск,129779,SKU_041188,Охлажденка,БФ,ТРЦ PBL,ТРЦ PBL,Нет,-,-,11.31,11.39
РЦ Самара (а),РЦ ПД Энгельс,899497,SKU_041655,5-я камера,МД,МП,МП,Нет,-,-,0.24,0.31
РЦ Самара (а),РЦ ПД Энгельс,695261,SKU_039888,Основной склад,МД,ФРЦ,ПД,Нет,-,-,10.85,11.82
РЦ Самара (а),РЦ ПД Тольятти,323385,SKU_014816,Основной склад,МИКС,ПД,ПД,Нет,+,Регион.,7.45,9.39
РЦ Самара (а),РЦ ПД Киров,275522,SKU_041226,5-я камера,МД,ТРЦ PBL,ТРЦ PBL,Да,-,-,1.0,1.17
РЦ Самара (а),РЦ ПД Зеленодольск,192679,SKU_021285,5-я камера,МД,ПД,ПД,Нет,-,-,2.87,3.18
РЦ Самара (а),РЦ ПД Киров,466438,SKU_025466,Основной склад,БФ,ФРЦ,ПД,Нет,-,-,0.42,0.54
РЦ Самара (а),РЦ ПД Зеленодольск,265754,SKU_023740,Основной склад,МК,ПД,ПД,Нет,-,-,1.05,1.26
РЦ Самара (а),РЦ ПД Пенза,119183,SKU_041105,Охлажденка,МИКС,ПД,Федеральный пулинг,Нет,-,-,0.32,0.36
РЦ Самара (а),РЦ ПД Тольятти,763536,SKU_038962,Основной склад,МК,ПД,ПД,Нет,-,-,1.97,2.35
РЦ Самара (а),РЦ ПД Тольятти,581556,SKU_034328,Основной склад,МД,ПД,ПД,Нет,-,Локал.,0.58,0.63
РЦ Самара (а),РЦ ПД Киров,272257,SKU_022797,Охлажденка,МД,ПД,ПД,Нет,+,-,0.24,0.33
РЦ Самара (а),РЦ ПД Тольятти,196419,SKU_009572,Основной склад,МД,ПД,ПД,Да,-,-,1.66,2.2
РЦ Самара (а),РЦ ПД Пенза,471308,SKU_042415,Пресервы,МК,ПД,ПД,Нет,-,-,0.95,0.96
РЦ Самара (а),РЦ ПД Зеленодольск,406644,SKU_006000,Основной склад,МД,ПД,ПД,Нет,-,-,14.96,16.72
РЦ Самара (а),РЦ ПД Пенза,181221,SKU_016580,Основной склад,МД,ПД,ПД,Нет,-,-,3.44,4.35
РЦ Самара (а),РЦ ПД Энгельс,691570,SKU_030610,Основной склад,МД,ПД,ПД,Нет,-,-,5.56,6.75
РЦ Самара (а),РЦ ПД Тольятти,786453,SKU_015838,Основной склад,МИКС,ПД,ПД,Нет,-,-,3.35,4.4
РЦ Самара (а),РЦ ПД Пенза,446941,SKU_002496,Основной склад,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,11.27,15.43
РЦ Самара (а),РЦ ПД Пенза,258940,SKU_043679,Основной склад,МК,ПД,МП,Нет,-,-,0.19,0.24
РЦ Самара (а),РЦ ПД Энгельс,445970,SKU_020302,Основной склад,МК,ПД,ПД,Нет,-,-,0.26,0.36
РЦ Самара (а),РЦ ПД Зеленодольск,312167,SKU_019450,Основной склад,БФ,ПД,ПД,Нет,-,-,1.76,1.89
РЦ Самара (а),РЦ ПД Энгельс,843498,SKU_010551,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.21,1.23
РЦ Самара (а),РЦ ПД Киров,203337,SKU_001193,Охлажденка,МИКС,Федеральный пулинг,ПД,Нет,-,-,0.52,0.58
РЦ Самара (а),РЦ ПД Энгельс,198734,SKU_034059,Основной склад,МД,ПД,ПД,Да,-,-,8.81,10.71
РЦ Самара (а),РЦ ПД Зеленодольск,196546,SKU_032075,Основной склад,ФД,ПД,ПД,Нет,-,-,0.16,0.17
РЦ Самара (а),РЦ ПД Пенза,290025,SKU_013664,Охлажденка,МК,ТРЦ,ТРЦ,Нет,-,-,8.76,9.51
РЦ Подольск (а),РЦ ПД Тула,410859,SKU_029191,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,1.71,2.26
РЦ Самара (а),РЦ ПД Зеленодольск,241153,SKU_014715,Основной склад,МК,ТРЦ,ПД,Нет,-,-,11.11,13.8
РЦ Самара (а),РЦ ПД Тольятти,147361,SKU_037541,Заморозка,МД,ПД,ПД,Да,-,-,1.92,2.1
РЦ Самара (а),РЦ ПД Зеленодольск,395584,SKU_018944,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.28,0.3
РЦ Самара (а),РЦ ПД Зеленодольск,350762,SKU_012717,Заморозка,МК,ПД,ПД,Нет,-,-,1.73,2.11
РЦ Самара (а),РЦ ПД Зеленодольск,249539,SKU_035988,Пресервы,МД,ПД,ПД,Да,-,-,0.45,0.48
РЦ Самара (а),РЦ ПД Зеленодольск,463462,SKU_039707,Основной склад,БФ,ПД,ПД,Нет,-,-,0.44,0.57
РЦ Самара (а),РЦ ПД Энгельс,822599,SKU_014656,Заморозка,МД,Федеральный пулинг,ПД,Нет,-,-,0.32,0.39
РЦ Самара (а),РЦ ПД Пенза,126586,SKU_022269,Охлажденка,МИКС,ПД,ПД,Нет,-,-,5.92,6.46
РЦ Самара (а),РЦ ПД Тольятти,127119,SKU_049953,Основной склад,МД,МП,МП,Нет,-,-,4.12,5.26
РЦ Ростов (а),РЦ ПД Ростов,770289,SKU_009703,Основной склад,МИКС,ПД,ПД,Да,-,-,1.21,1.37
РЦ Самара (а),РЦ ПД Киров,357172,SKU_017565,Охлажденка,МИКС,ПД,ПД,Нет,-,-,0.71,0.91
РЦ Самара (а),РЦ ПД Энгельс,402816,SKU_014178,Основной склад,МК,ТРЦ PBL,ТРЦ PBL,Да,+,-,0.71,0.82
РЦ Самара (а),РЦ ПД Зеленодольск,412598,SKU_031214,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,6.6,7.6
РЦ Самара (а),РЦ ПД Зеленодольск,894409,SKU_041923,Основной склад,МД,ПД,ПД,Нет,-,-,8.69,9.39
РЦ Самара (а),РЦ ПД Энгельс,172634,SKU_036633,Пресервы,БФ,Федеральный пулинг,Федеральный пулинг,Да,-,-,32.69,33.47
РЦ Самара (а),РЦ ПД Зеленодольск,119951,SKU_038950,Основной склад,МД,ПД,ПД,Да,-,-,1.41,1.53
РЦ Подольск (а),РЦ ПД Тула,429533,SKU_043834,Основной склад,МД,ПД,Федеральный пулинг,Да,-,-,3.28,3.55
РЦ Самара (а),РЦ ПД Энгельс,815391,SKU_009115,Охлажденка,БФ,ПД,ПД,Нет,-,-,0.64,0.67
РЦ Самара (а),РЦ ПД Зеленодольск,805282,SKU_025385,Основной склад,МИКС,ТРЦ,ТРЦ,Да,-,-,2.11,2.28
РЦ Самара (а),РЦ ПД Зеленодольск,438679,SKU_039798,Охлажденка,МК,ФРЦ,ФРЦ,Нет,-,-,0.65,0.71
РЦ Самара (а),РЦ ПД Тольятти,930953,SKU_012098,Основной склад,МК,ТРЦ,ФРЦ,Нет,-,Локал.,16.78,21.13
РЦ Самара (а),РЦ ПД Зеленодольск,206394,SKU_005005,Охлажденка,МК,ФРЦ,ФРЦ,Нет,-,-,0.84,1.0
РЦ Самара (а),РЦ ПД Тольятти,453397,SKU_039372,Заморозка,БФ,ТРЦ,ТРЦ,Нет,-,-,1.02,1.35
РЦ Самара (а),РЦ ПД Пенза,586400,SKU_024505,Основной склад,МД,ФРЦ,ТРЦ,Да,-,-,1.23,1.4
РЦ Самара (а),РЦ ПД Энгельс,676548,SKU_012394,Охлажденка,МИКС,ПД,ПД,Нет,-,-,27.98,34.46
РЦ Самара (а),РЦ ПД Пенза,571288,SKU_046149,Основной склад,МД,ПД,ПД,Да,-,Локал.,2.06,2.1
РЦ Самара (а),РЦ ПД Пенза,565927,SKU_003100,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,2.53,3.37
РЦ Самара (а),РЦ ПД Зеленодольск,194084,SKU_043687,Заморозка,МД,ПД,ПД,Нет,-,-,1.19,1.39
РЦ Самара (а),РЦ ПД Тольятти,661907,SKU_027450,Основной склад,ФД,ПД,ПД,Нет,-,-,2.37,2.52
РЦ Самара (а),РЦ ПД Киров,161170,SKU_045717,Пресервы,БФ,ПД,ПД,Нет,-,-,7.45,10.24
РЦ Самара (а),РЦ ПД Тольятти,421778,SKU_020787,Основной склад,МИКС,ПД,ПД,Нет,+,-,18.5,19.88
РЦ Самара (а),РЦ ПД Зеленодольск,909041,SKU_003986,Охлажденка,МД,ПД,ПД,Нет,-,-,0.23,0.3
РЦ Самара (а),РЦ ПД Тольятти,239362,SKU_013755,Охлажденка,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,23.14,29.9
РЦ Самара (а),РЦ ПД Киров,968437,SKU_032193,Охлажденка,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,1.68,1.7
РЦ Самара (а),РЦ ПД Тольятти,281499,SKU_027272,Заморозка,МИКС,ПД,ПД,Нет,-,-,3.81,5.31
РЦ Самара (а),РЦ ПД Тольятти,977181,SKU_025875,Охлажденка,БФ,ФРЦ,ФРЦ,Нет,-,-,0.46,0.46
РЦ Самара (а),РЦ ПД Энгельс,685845,SKU_024888,Пресервы,МИКС,ФРЦ,ФРЦ,Нет,-,-,2.85,2.99
РЦ Самара (а),РЦ ПД Тольятти,139942,SKU_039504,Основной склад,БФ,ПД,ПД,Нет,-,-,11.09,12.04
РЦ Самара (а),РЦ ПД Киров,887386,SKU_024679,5-я камера,МК,МП,МП,Нет,-,-,15.5,18.89
РЦ Самара (а),РЦ ПД Зеленодольск,113562,SKU_004004,Основной склад,МД,ПД,ПД,Нет,-,-,0.49,0.5
РЦ Самара (а),РЦ ПД Пенза,367298,SKU_006404,Основной склад,МД,ПД,ПД,Нет,-,-,3.01,3.57
РЦ Самара (а),РЦ ПД Зеленодольск,290813,SKU_047688,Основной склад,МД,ПД,ПД,Нет,-,Локал.,5.29,6.12
РЦ Самара (а),РЦ ПД Киров,849190,SKU_043350,Заморозка,МД,ПД,МП,Нет,-,-,0.74,0.87
РЦ Самара (а),РЦ ПД Энгельс,387098,SKU_003263,Пресервы,ТД,ПД,ПД,Нет,+,-,5.47,5.78
РЦ Самара (а),РЦ ПД Пенза,356426,SKU_030639,Основной склад,ТД,ТРЦ,ТРЦ PBL,Нет,-,-,0.26,0.34
РЦ Самара (а),РЦ ПД Зеленодольск,768827,SKU_018443,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.94,2.21
РЦ Самара (а),РЦ ПД Зеленодольск,565896,SKU_019712,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,0.76,0.95
РЦ Самара (а),РЦ ПД Киров,391681,SKU_032594,Охлажденка,МД,ПД,ПД,Нет,-,-,1.67,2.15
РЦ Самара (а),РЦ ПД Киров,737699,SKU_039477,Охлажденка,МИКС,ПД,ПД,Нет,-,-,4.7,5.93
РЦ Самара (а),РЦ ПД Зеленодольск,815695,SKU_026366,5-я камера,ФД,ПД,ПД,Нет,-,-,0.72,0.84
РЦ Самара (а),РЦ ПД Энгельс,527849,SKU_018609,Пресервы,МД,МП,МП,Нет,-,-,2.1,2.86
РЦ Ивантеевка (а),РЦ ПД Тверь,706561,SKU_027652,Основной склад,МК,ПД,ПД,Да,-,-,4.42,5.18
РЦ Ростов (а),РЦ ПД Ростов,455735,SKU_046849,Заморозка,ФД,ТРЦ,ТРЦ,Нет,-,-,0.15,0.2
РЦ Самара (а),РЦ ПД Пенза,150684,SKU_037957,5-я камера,МД,ТРЦ,ТРЦ,Нет,-,-,1.25,1.61
РЦ Самара (а),РЦ ПД Тольятти,399066,SKU_005882,Основной склад,МД,ПД,ПД,Да,-,-,0.06,0.06
РЦ Самара (а),РЦ ПД Зеленодольск,564977,SKU_014687,Пресервы,МД,Федеральный пулинг,ПД,Нет,-,-,12.39,17.22
РЦ Самара (а),РЦ ПД Энгельс,257346,SKU_048344,5-я камера,МД,ПД,ПД,Нет,-,-,0.15,0.2
РЦ Самара (а),РЦ ПД Пенза,423029,SKU_045350,Основной склад,ФД,ТРЦ,ТРЦ,Нет,-,-,3.37,3.75
РЦ Самара (а),РЦ ПД Тольятти,870365,SKU_032093,Охлажденка,МД,ФРЦ,ФРЦ,Нет,-,-,0.21,0.25
РЦ Самара (а),РЦ ПД Тольятти,414948,SKU_041640,Охлажденка,БФ,ПД,ПД,Нет,-,-,5.91,7.72
РЦ Самара (а),РЦ ПД Зеленодольск,739345,SKU_006189,5-я камера,МК,ПД,ПД,Нет,-,-,1.33,1.76
РЦ Самара (а),РЦ ПД Зеленодольск,162856,SKU_028570,Охлажденка,МК,ТРЦ,ТРЦ,Да,-,-,1.37,1.42
РЦ Самара (а),РЦ ПД Пенза,617176,SKU_017399,Заморозка,МД,ПД,ПД,Нет,-,-,24.13,28.2
РЦ Самара (а),РЦ ПД Пенза,723238,SKU_046756,Основной склад,МД,ПД,ПД,Нет,-,Локал.,6.73,7.17
РЦ Самара (а),РЦ ПД Тольятти,975575,SKU_045501,Основной склад,МД,ПД,ПД,Нет,-,-,1.36,1.8
РЦ Самара (а),РЦ ПД Тольятти,727515,SKU_031901,5-я камера,МД,ПД,ПД,Нет,-,-,5.88,6.96
РЦ Самара (а),РЦ ПД Киров,525480,SKU_020097,Охлажденка,ФД,ТРЦ PBL,ТРЦ PBL,Да,-,-,1.48,1.51
РЦ Самара (а),РЦ ПД Зеленодольск,184920,SKU_006642,Основной склад,МД,ПД,ПД,Нет,-,-,4.44,6.04
РЦ Самара (а),РЦ ПД Киров,879284,SKU_048768,Основной склад,МК,ПД,ТРЦ,Нет,-,-,0.64,0.73
РЦ Самара (а),РЦ ПД Киров,365216,SKU_010579,Основной склад,МК,ПД,ПД,Нет,-,-,0.41,0.42
РЦ Самара (а),РЦ ПД Пенза,315795,SKU_023473,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,2.79,3.53
РЦ Ивантеевка (а),РЦ ПД Тверь,410037,SKU_008973,Охлажденка,МК,ПД,ПД,Нет,-,-,6.54,8.58
РЦ Самара (а),РЦ ПД Зеленодольск,136801,SKU_048633,Охлажденка,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,2.63,3.28
РЦ Самара (а),РЦ ПД Зеленодольск,395248,SKU_018539,Заморозка,БФ,МП,МП,Нет,-,-,2.03,2.49
РЦ Самара (а),РЦ ПД Тольятти,457388,SKU_002076,5-я камера,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.05,0.05
РЦ Самара (а),РЦ ПД Пенза,754862,SKU_046508,Основной склад,МК,ФРЦ,ФРЦ,Нет,-,-,3.05,3.54
РЦ Самара (а),РЦ ПД Энгельс,137998,SKU_043085,Охлажденка,ТД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.77,0.93
РЦ Самара (а),РЦ ПД Пенза,907254,SKU_038935,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,0.29,0.34
РЦ Самара (а),РЦ ПД Пенза,931945,SKU_005719,Охлажденка,МД,ПД,ПД,Нет,-,-,4.99,6.62
РЦ Самара (а),РЦ ПД Энгельс,920754,SKU_032321,Заморозка,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.27,0.31
РЦ Самара (а),РЦ ПД Зеленодольск,325156,SKU_001989,Пресервы,БФ,ПД,ПД,Нет,-,-,1.99,2.35
РЦ Самара (а),РЦ ПД Энгельс,533579,SKU_041253,Основной склад,МИКС,ПД,ПД,Нет,-,-,19.9,23.87
РЦ Самара (а),РЦ ПД Тольятти,354714,SKU_042428,Охлажденка,БФ,ПД,ПД,Нет,-,-,0.16,0.19
РЦ Самара (а),РЦ ПД Пенза,754119,SKU_022454,Заморозка,МД,ФРЦ,ФРЦ,Нет,+,-,0.11,0.14
РЦ Самара (а),РЦ ПД Энгельс,879017,SKU_000501,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,2.72,3.47
РЦ Подольск (а),РЦ ПД Тула,764966,SKU_013444,Основной склад,МД,ПД,ПД,Нет,-,-,0.58,0.68
РЦ Самара (а),РЦ ПД Зеленодольск,145570,SKU_006917,Основной склад,БФ,ПД,ПД,Нет,-,-,0.46,0.52
РЦ Самара (а),РЦ ПД Пенза,784605,SKU_004860,Основной склад,ФД,ПД,ПД,Нет,+,-,10.02,11.22
РЦ Самара (а),РЦ ПД Тольятти,125431,SKU_009781,Основной склад,МК,ПД,ПД,Нет,-,-,8.43,11.03
РЦ Самара (а),РЦ ПД Пенза,603595,SKU_019525,Основной склад,МД,ТРЦ PBL,ТРЦ PBL,Нет,+,-,0.85,1.08
РЦ Самара (а),РЦ ПД Энгельс,535029,SKU_023280,Пресервы,БФ,Федеральный пулинг,Федеральный пулинг,Нет,-,-,0.24,0.33
РЦ Самара (а),РЦ ПД Пенза,325571,SKU_032950,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,Локал.,0.63,0.77
РЦ Самара (а),РЦ ПД Энгельс,978181,SKU_040758,Охлажденка,БФ,ФРЦ,ФРЦ,Нет,+,-,1.53,1.65
РЦ Самара (а),РЦ ПД Энгельс,765609,SKU_040399,Охлажденка,МД,ПД,ПД,Нет,-,-,1.74,2.03
РЦ Самара (а),РЦ ПД Киров,252772,SKU_009742,Охлажденка,МД,ФРЦ,ФРЦ,Нет,-,-,15.41,16.31
РЦ Самара (а),РЦ ПД Пенза,450717,SKU_021984,Основной склад,МД,ПД,ТРЦ,Нет,-,-,5.7,5.88
РЦ Самара (а),РЦ ПД Зеленодольск,914353,SKU_043299,Пресервы,МИКС,ПД,ПД,Нет,-,-,17.81,24.07
РЦ Самара (а),РЦ ПД Зеленодольск,162857,SKU_012239,Охлажденка,МИКС,Федеральный пулинг,Федеральный пулинг,Нет,-,Локал.,0.71,0.73
РЦ Самара (а),РЦ ПД Энгельс,777399,SKU_042167,Основной склад,МД,МП,МП,Нет,-,-,1.21,1.32
РЦ Самара (а),РЦ ПД Пенза,186807,SKU_006857,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.52,0.58
РЦ Самара (а),РЦ ПД Тольятти,582090,SKU_006463,Заморозка,БФ,Федеральный пулинг,Федеральный пулинг,Да,-,-,11.98,12.49
РЦ Самара (а),РЦ ПД Зеленодольск,735544,SKU_018790,Основной склад,МД,ПД,ПД,Нет,-,-,5.57,6.25
РЦ Самара (а),РЦ ПД Энгельс,888620,SKU_021372,Пресервы,ФД,ПД,ПД,Да,-,-,0.02,0.03
РЦ Самара (а),РЦ ПД Энгельс,119319,SKU_028122,Основной склад,ТД,ФРЦ,ФРЦ,Нет,-,-,1.34,1.74
